SDW	Run	Treatment.ID	Variety	Block
0.101	3	RP	ARC_10376	RP_3
0.124	3	RP	DEE_GEO_WOO_GEN	RP_3
0.147	3	RP	SIGADIS	RP_3
0.159	3	RP	KIANG-CHOU-CHIU	RP_3
0.184	3	RP	CREOLE	RP_3
0.087	3	RP	IR-44595	RP_3
0.075	3	RP	ASD_1	RP_3
0.11	3	RP	ORO	RP_3
0.098	3	RP	HABIGANJ_BORO_6	RP_3
0.094	3	RP	CYBONNET	RP_3
0.085	3	RP	DELLA	RP_3
0.12	3	RP	Caucasica	RP_3
0.129	3	RP	DD_62	RP_3
0.165	3	RP	AI-CHIAO-HONG	RP_3
0.118	3	RP	CHANG_CH'SANG_HSU_TAO	RP_3
0.108	3	RP	CS-M3	RP_3
0.142	3	RP	DJ_24	RP_3
0.141	3	RP	Sadri_Belyi	RP_3
0.21	3	RP	Yodanya	RP_3
0.156	3	RP	Pai_Hok_Glutinous	RP_3
0.089	3	RP	Dosel	RP_3
0.087	3	RP	TOPLOEA_70/76	RP_3
0.129	3	RP	PATE_BLANC_MN_1	RP_3
0.136	3	RP	SHIRKATI	RP_3
0.086	3	RP	Llanero_501	RP_3
0.098	3	RP	583	RP_3
0.072	3	RP	PATNAI_23	RP_3
0.094	3	None	SUNG_LIAO_2	None_3
0.063	3	None	H256-76-1-1-1	None_3
0.109	3	None	Melanotrix	None_3
0.117	3	None	325	None_3
0.109	3	None	NPE_835	None_3
0.149	3	None	Jamir	None_3
0.162	3	None	RTS14	None_3
0.135	3	None	Biser_1	None_3
0.086	3	None	KITRANA_508	None_3
0.082	3	None	M-202	None_3
0.1	3	None	ZHE_733	None_3
0.084	3	None	DV_123	None_3
0.09	3	None	LEAH	None_3
0.134	3	None	CHINA_1039	None_3
0.01	3	None	LUK_TAKHAR	None_3
0.086	3	None	PALMYRA	None_3
0.17	3	None	BALDO	None_3
0.115	3	None	Halwa_Gose_Red	None_3
0.124	3	None	519	None_3
0.087	3	None	BINULAWAN	None_3
0.096	3	None	Lomello	None_3
0.076	3	None	BLUE_ROSE	None_3
0.087	3	None	IR_8	None_3
0.154	3	None	RADIN_EBOS_33	None_3
0.08	3	None	L-202	None_3
0.121	3	None	TE_QING	None_3
0.11	3	None	T26	None_3
0.103	3	None	WC_4443	None_3
0.15	3	None	Romanica	None_3
0.199	3	None	DA16	None_3
0.07	3	None	OSTIGLIA	None_3
0.106	3	None	GERDEH	None_3
0.108	3	None	RTS4	None_3
0.113	3	None	LADY_WRIGHT_SELN	None_3
0.127	3	None	AZUCENA_OWN	None_3
0.113	3	None	LEUNG_PRATEW	None_3
0.115	3	None	JOUIKU_393G	None_3
0.114	3	None	DOURADO_AGULHA	None_3
0.105	3	None	CENIT	None_3
0.135	3	None	GHARIB	None_3
0.138	3	None	MIRITI	None_3
0.09	3	None	NOVA	None_3
0.136	3	None	Vavilovi	None_3
0.099	3	None	COCODRIE	None_3
0.112	3	None	TADUCAN	None_3
0.135	3	None	DOM-SOFID	None_3
0.129	3	None	GUAN-YIN-TSAN	None_3
0.108	3	None	Bergreis	None_3
0.112	3	None	ARC_10376	None_3
0.123	3	None	DEE_GEO_WOO_GEN	None_3
0.114	3	None	SIGADIS	None_3
0.109	3	None	KIANG-CHOU-CHIU	None_3
0.165	3	None	CREOLE	None_3
0.079	3	None	IR-44595	None_3
0.076	3	None	ASD_1	None_3
0.099	3	None	ORO	None_3
0.101	3	None	HABIGANJ_BORO_6	None_3
0.092	3	None	CYBONNET	None_3
0.1	3	None	DELLA	None_3
0.124	3	None	Caucasica	None_3
0.112	3	None	DD_62	None_3
0.139	3	None	AI-CHIAO-HONG	None_3
0.126	3	None	CHANG_CH'SANG_HSU_TAO	None_3
0.111	3	None	CS-M3	None_3
0.112	3	None	DJ_24	None_3
0.108	3	None	Sadri_Belyi	None_3
0.159	3	None	Yodanya	None_3
0.144	3	None	Pai_Hok_Glutinous	None_3
0.068	3	None	Dosel	None_3
0.059	3	None	TOPLOEA_70/76	None_3
0.169	3	None	PATE_BLANC_MN_1	None_3
0.136	3	None	SHIRKATI	None_3
0.089	3	None	Llanero_501	None_3
0.093	3	None	583	None_3
0.07	3	None	PATNAI_23	None_3
0.112	4	RP	Melanotrix	RP_4
0.117	4	RP	NOVA	RP_4
0.142	4	RP	RTS4	RP_4
0.042	4	RP	Dosel	RP_4
0.146	4	RP	AI-CHIAO-HONG	RP_4
0.183	4	RP	ORO	RP_4
0.136	4	RP	GHARIB	RP_4
0.083	4	RP	LEAH	RP_4
0.101	4	RP	OSTIGLIA	RP_4
0.195	4	RP	RADIN_EBOS_33	RP_4
0.156	4	RP	BALDO	RP_4
0.121	4	RP	Bergreis	RP_4
0.135	4	RP	AZUCENA_OWN	RP_4
0.164	4	RP	LADY_WRIGHT_SELN	RP_4
0.141	4	RP	Sadri_Belyi	RP_4
0.042	4	RP	JOUIKU_393G	RP_4
0.11	4	RP	ARC_10376	RP_4
0.122	4	RP	Biser_1	RP_4
0.119	4	RP	325	RP_4
0.205	4	RP	KIANG-CHOU-CHIU	RP_4
0.107	4	RP	H256-76-1-1-1	RP_4
0.16	4	RP	SHIRKATI	RP_4
0.105	4	RP	DELLA	RP_4
0.105	4	RP	NPE_835	RP_4
0.183	4	RP	Halwa_Gose_Red	RP_4
0.131	4	RP	TE_QING	RP_4
0.137	4	RP	583	RP_4
0.128	4	RP	PALMYRA	RP_4
0.104	4	RP	IR-44595	RP_4
0.022	4	RP	LUK_TAKHAR	RP_4
0.132	4	RP	CREOLE	RP_4
0.187	4	RP	GUAN-YIN-TSAN	RP_4
0.174	4	RP	Caucasica	RP_4
0.171	4	RP	Pai_Hok_Glutinous	RP_4
0.127	4	RP	TADUCAN	RP_4
0.143	4	RP	COCODRIE	RP_4
0.174	4	RP	519	RP_4
0.115	4	RP	CS-M3	RP_4
0.135	4	RP	ZHE_733	RP_4
0.14	4	RP	DOM-SOFID	RP_4
0.214	4	RP	Vavilovi	RP_4
0.101	4	RP	DV_123	RP_4
0.116	4	RP	ASD_1	RP_4
0.041	4	RP	BLUE_ROSE	RP_4
0.105	4	RP	HABIGANJ_BORO_6	RP_4
0.194	4	RP	MIRITI	RP_4
0.172	4	RP	SIGADIS	RP_4
0.123	4	RP	SUNG_LIAO_2	RP_4
0.19	4	RP	RTS14	RP_4
0.118	4	RP	PATNAI_23	RP_4
0.218	4	RP	Jamir	RP_4
0.126	4	RP	DJ_24	RP_4
0.146	4	RP	DEE_GEO_WOO_GEN	RP_4
0.141	4	RP	Romanica	RP_4
0.081	4	RP	BINULAWAN	RP_4
0.157	4	RP	PATE_BLANC_MN_1	RP_4
0.141	4	RP	IR_8	RP_4
0.185	4	RP	CENIT	RP_4
0.127	4	RP	L-202	RP_4
0.165	4	RP	DOURADO_AGULHA	RP_4
0.138	4	RP	CYBONNET	RP_4
0.094	4	RP	Llanero_501	RP_4
0.108	4	RP	KITRANA_508	RP_4
0.139	4	RP	DD_62	RP_4
0.154	4	RP	CHANG_CH'SANG_HSU_TAO	RP_4
0.16	4	RP	Lomello	RP_4
0.139	4	RP	M-202	RP_4
0.095	4	RP	TOPLOEA_70/76	RP_4
0.215	4	RP	Yodanya	RP_4
0.111	4	RP	T26	RP_4
0.172	4	RP	CHINA_1039	RP_4
0.133	4	RP	WC_4443	RP_4
0.198	4	RP	LEUNG_PRATEW	RP_4
0.183	4	RP	GERDEH	RP_4
0.231	4	RP	DA16	RP_4
0.12	4	None	Melanotrix	None_4
0.119	4	None	NOVA	None_4
0.134	4	None	RTS4	None_4
0.123	4	None	Dosel	None_4
0.185	4	None	AI-CHIAO-HONG	None_4
0.149	4	None	ORO	None_4
0.147	4	None	GHARIB	None_4
0.11	4	None	LEAH	None_4
0.099	4	None	OSTIGLIA	None_4
0.198	4	None	RADIN_EBOS_33	None_4
0.192	4	None	BALDO	None_4
0.139	4	None	Bergreis	None_4
0.133	4	None	AZUCENA_OWN	None_4
0.182	4	None	LADY_WRIGHT_SELN	None_4
0.129	4	None	Sadri_Belyi	None_4
0.159	4	None	JOUIKU_393G	None_4
0.106	4	None	ARC_10376	None_4
0.158	4	None	Biser_1	None_4
0.146	4	None	325	None_4
0.198	4	None	KIANG-CHOU-CHIU	None_4
0.107	4	None	H256-76-1-1-1	None_4
0.17	4	None	SHIRKATI	None_4
0.121	4	None	DELLA	None_4
0.102	4	None	NPE_835	None_4
0.169	4	None	Halwa_Gose_Red	None_4
0.175	4	None	TE_QING	None_4
0.13	4	None	583	None_4
0.164	4	None	PALMYRA	None_4
0.107	4	None	IR-44595	None_4
0.046	4	None	LUK_TAKHAR	None_4
0.172	4	None	CREOLE	None_4
0.296	4	None	GUAN-YIN-TSAN	None_4
0.165	4	None	Caucasica	None_4
0.216	4	None	Pai_Hok_Glutinous	None_4
0.136	4	None	TADUCAN	None_4
0.124	4	None	COCODRIE	None_4
0.157	4	None	519	None_4
0.171	4	None	CS-M3	None_4
0.204	4	None	ZHE_733	None_4
0.186	4	None	DOM-SOFID	None_4
0.211	4	None	Vavilovi	None_4
0.151	4	None	DV_123	None_4
0.125	4	None	ASD_1	None_4
0.135	4	None	BLUE_ROSE	None_4
0.148	4	None	HABIGANJ_BORO_6	None_4
0.211	4	None	MIRITI	None_4
0.194	4	None	SIGADIS	None_4
0.129	4	None	SUNG_LIAO_2	None_4
0.209	4	None	RTS14	None_4
0.088	4	None	PATNAI_23	None_4
0.244	4	None	Jamir	None_4
0.123	4	None	DJ_24	None_4
0.159	4	None	DEE_GEO_WOO_GEN	None_4
0.149	4	None	Romanica	None_4
0.085	4	None	BINULAWAN	None_4
0.173	4	None	PATE_BLANC_MN_1	None_4
0.144	4	None	IR_8	None_4
0.154	4	None	CENIT	None_4
0.135	4	None	L-202	None_4
0.169	4	None	DOURADO_AGULHA	None_4
0.132	4	None	CYBONNET	None_4
0.104	4	None	Llanero_501	None_4
0.122	4	None	KITRANA_508	None_4
0.135	4	None	DD_62	None_4
0.158	4	None	CHANG_CH'SANG_HSU_TAO	None_4
0.16	4	None	Lomello	None_4
0.144	4	None	M-202	None_4
0.089	4	None	TOPLOEA_70/76	None_4
0.196	4	None	Yodanya	None_4
0.139	4	None	T26	None_4
0.191	4	None	CHINA_1039	None_4
0.133	4	None	WC_4443	None_4
0.216	4	None	LEUNG_PRATEW	None_4
0.117	4	None	GERDEH	None_4
0.253	4	None	DA16	None_4
0.076	4	AMF+RP	Melanotrix	AMF+RP_4
0.05	4	AMF+RP	NOVA	AMF+RP_4
0.084	4	AMF+RP	RTS4	AMF+RP_4
0.075	4	AMF+RP	Dosel	AMF+RP_4
0.094	4	AMF+RP	AI-CHIAO-HONG	AMF+RP_4
0.076	4	AMF+RP	ORO	AMF+RP_4
0.092	4	AMF+RP	GHARIB	AMF+RP_4
0.056	4	AMF+RP	LEAH	AMF+RP_4
0.058	4	AMF+RP	OSTIGLIA	AMF+RP_4
0.117	4	AMF+RP	RADIN_EBOS_33	AMF+RP_4
0.084	4	AMF+RP	BALDO	AMF+RP_4
0.084	4	AMF+RP	Bergreis	AMF+RP_4
0.079	4	AMF+RP	AZUCENA_OWN	AMF+RP_4
0.063	4	AMF+RP	LADY_WRIGHT_SELN	AMF+RP_4
0.081	4	AMF+RP	Sadri_Belyi	AMF+RP_4
0.033	4	AMF+RP	JOUIKU_393G	AMF+RP_4
0.088	4	AMF+RP	ARC_10376	AMF+RP_4
0.066	4	AMF+RP	Biser_1	AMF+RP_4
0.106	4	AMF+RP	325	AMF+RP_4
0.081	4	AMF+RP	KIANG-CHOU-CHIU	AMF+RP_4
0.056	4	AMF+RP	H256-76-1-1-1	AMF+RP_4
0.098	4	AMF+RP	SHIRKATI	AMF+RP_4
0.05	4	AMF+RP	DELLA	AMF+RP_4
0.09	4	AMF+RP	NPE_835	AMF+RP_4
0.119	4	AMF+RP	Halwa_Gose_Red	AMF+RP_4
0.086	4	AMF+RP	TE_QING	AMF+RP_4
0.097	4	AMF+RP	583	AMF+RP_4
0.064	4	AMF+RP	PALMYRA	AMF+RP_4
0.086	4	AMF+RP	IR-44595	AMF+RP_4
0.024	4	AMF+RP	LUK_TAKHAR	AMF+RP_4
0.094	4	AMF+RP	CREOLE	AMF+RP_4
0.087	4	AMF+RP	GUAN-YIN-TSAN	AMF+RP_4
0.098	4	AMF+RP	Caucasica	AMF+RP_4
0.083	4	AMF+RP	Pai_Hok_Glutinous	AMF+RP_4
0.085	4	AMF+RP	TADUCAN	AMF+RP_4
0.067	4	AMF+RP	COCODRIE	AMF+RP_4
0.107	4	AMF+RP	519	AMF+RP_4
0.068	4	AMF+RP	CS-M3	AMF+RP_4
0.077	4	AMF+RP	ZHE_733	AMF+RP_4
0.083	4	AMF+RP	DOM-SOFID	AMF+RP_4
0.108	4	AMF+RP	Vavilovi	AMF+RP_4
0.076	4	AMF+RP	DV_123	AMF+RP_4
0.046	4	AMF+RP	ASD_1	AMF+RP_4
0.065	4	AMF+RP	BLUE_ROSE	AMF+RP_4
0.087	4	AMF+RP	HABIGANJ_BORO_6	AMF+RP_4
0.111	4	AMF+RP	MIRITI	AMF+RP_4
0.107	4	AMF+RP	SIGADIS	AMF+RP_4
0.078	4	AMF+RP	SUNG_LIAO_2	AMF+RP_4
0.105	4	AMF+RP	RTS14	AMF+RP_4
0.049	4	AMF+RP	PATNAI_23	AMF+RP_4
0.111	4	AMF+RP	Jamir	AMF+RP_4
0.087	4	AMF+RP	DJ_24	AMF+RP_4
0.1	4	AMF+RP	DEE_GEO_WOO_GEN	AMF+RP_4
0.07	4	AMF+RP	Romanica	AMF+RP_4
0.06	4	AMF+RP	BINULAWAN	AMF+RP_4
0.078	4	AMF+RP	PATE_BLANC_MN_1	AMF+RP_4
0.074	4	AMF+RP	IR_8	AMF+RP_4
0.06	4	AMF+RP	CENIT	AMF+RP_4
0.066	4	AMF+RP	L-202	AMF+RP_4
0.083	4	AMF+RP	DOURADO_AGULHA	AMF+RP_4
0.061	4	AMF+RP	CYBONNET	AMF+RP_4
0.055	4	AMF+RP	Llanero_501	AMF+RP_4
0.074	4	AMF+RP	KITRANA_508	AMF+RP_4
0.07	4	AMF+RP	DD_62	AMF+RP_4
0.104	4	AMF+RP	CHANG_CH'SANG_HSU_TAO	AMF+RP_4
0.063	4	AMF+RP	Lomello	AMF+RP_4
0.077	4	AMF+RP	M-202	AMF+RP_4
0.063	4	AMF+RP	TOPLOEA_70/76	AMF+RP_4
0.102	4	AMF+RP	Yodanya	AMF+RP_4
0.073	4	AMF+RP	T26	AMF+RP_4
0.116	4	AMF+RP	CHINA_1039	AMF+RP_4
0.079	4	AMF+RP	WC_4443	AMF+RP_4
0.088	4	AMF+RP	LEUNG_PRATEW	AMF+RP_4
0.066	4	AMF+RP	GERDEH	AMF+RP_4
0.135	4	AMF+RP	DA16	AMF+RP_4
