SDW	Run	Treatment.ID	Variety	logSDW
0.123	3	RP	FORTUNA	-2.095570924
0.141	3	RP	318	-1.958995389
0.095	3	RP	SHINRIKI	-2.353878387
0.165	3	RP	SML 242	-1.801809805
0.073	3	RP	ASSE Y PUNG	-2.617295838
0.097	3	RP	CENIT	-2.3330443
0.105	3	RP	NOVA	-2.253794929
0.162	3	RP	BLACK GORA	-1.820158944
0.097	3	RP	9524	-2.3330443
0.122	3	RP	Bergreis	-2.103734234
0.149	3	RP	WC 6	-1.903808973
0.101	3	RP	Mojito Colorado	-2.292634762
0.087	3	RP	IR-44595	-2.44184716
0.144	3	RP	AGOSTANO	-1.937941979
0.133	3	RP	DNJ 140	-2.017406151
0.133	3	RP	PAGAIYAHAN	-2.017406151
0.112	3	RP	PADI KASALLE	-2.189256408
0.18	3	RP	Aijiaonante	-1.714798428
0.129	3	RP	YRL-1	-2.047942875
0.12	3	RP	Caucasica	-2.120263536
0.127	3	RP	British Honduras Creole	-2.063568193
0.148	3	RP	KPF-16	-1.910543005
0.085	3	RP	BR24	-2.465104022
0.138	3	RP	1021	-1.980501594
0.11	3	RP	IR 36	-2.207274913
0.098	3	RP	56-122-23	-2.3227878
0.156	3	RP	Pai Hok Glutinous	-1.857899272
0.089	3	RP	Dosel	-2.419118909
0.096	3	RP	P 737	-2.343407088
0.109	3	RP	PAPPAKU	-2.216407397
0.124	3	RP	LA 110	-2.087473713
0.146	3	RP	JC149	-1.924148657
0.132	3	RP	EMATA A 16-34	-2.024953356
0.135	3	RP	AZUCENA	-2.002480501
0.129	3	RP	PATE BLANC MN 1	-2.047942875
0.116	3	RP	IAC 25	-2.154165088
0.122	3	RP	OSOGOVKA	-2.103734234
0.075	3	RP	ARIAS	-2.590267165
0.098	3	RP	583	-2.3227878
0.106	3	RP	PAUNG MALAUNG	-2.244316185
0.074	3	RP	TONDOK	-2.603690186
0.181	3	RP	GHATI KAMMA NANGARHAR	-1.709258248
0.094	3	None	SUNG LIAO 2	-2.364460497
0.178	3	None	Niquen	-1.725971729
0.117	3	None	325	-2.145581344
0.171	3	None	KALAMKATI	-1.766091722
0.125	3	None	Kon Suito	-2.079441542
0.19	3	None	NIRA	-1.660731207
0.12	3	None	JAMBU	-2.120263536
0.086	3	None	KITRANA 508	-2.453407983
0.116	3	None	Djimoron	-2.154165088
0.136	3	None	Priano Guaira	-1.995100393
0.134	3	None	CHINA 1039	-2.009915479
0.01	3	None	LUK TAKHAR	-4.605170186
0.095	3	None	NPE 844	-2.353878387
0.17	3	None	BALDO	-1.771956842
0.097	3	None	SRI MALAYSIA DUA	-2.3330443
0.124	3	None	519	-2.087473713
0.135	3	None	TAICHUNG NATIVE 1	-2.002480501
0.076	3	None	BLUE ROSE	-2.577021939
0.057	3	None	BASMATI 217	-2.864704011
0.05	3	None	MANSAKU	-2.995732274
0.177	3	None	KALUBALA VEE	-1.731605546
0.122	3	None	PEH-KUH-TSAO-TU	-2.103734234
0.201	3	None	Sadri Tor Misri	-1.604450371
0.11	3	None	T26	-2.207274913
0.126	3	None	KUN-MIN-TSIEH-HUNAN	-2.071473372
0.103	3	None	WC 4443	-2.273026291
0.09	3	None	CI 11026	-2.407945609
0.111	3	None	BLUE ROSE SUPREME	-2.198225078
0.074	3	None	DEOKJEOKJODO	-2.603690186
0.079	3	None	LEMONT	-2.538307427
0.102	3	None	BELLARDONE	-2.282782466
0.077	3	None	WC 4419	-2.563949857
0.097	3	None	KHAO HAWM	-2.3330443
0.116	3	None	FORTUNA	-2.154165088
0.113	3	None	318	-2.18036746
0.098	3	None	SHINRIKI	-2.3227878
0.154	3	None	SML 242	-1.870802677
0.111	3	None	ASSE Y PUNG	-2.198225078
0.105	3	None	CENIT	-2.253794929
0.09	3	None	NOVA	-2.407945609
0.136	3	None	BLACK GORA	-1.995100393
0.119	3	None	9524	-2.128631786
0.108	3	None	Bergreis	-2.225624052
0.144	3	None	WC 6	-1.937941979
0.097	3	None	Mojito Colorado	-2.3330443
0.079	3	None	IR-44595	-2.538307427
0.159	3	None	AGOSTANO	-1.838851077
0.151	3	None	DNJ 140	-1.890475442
0.119	3	None	PAGAIYAHAN	-2.128631786
0.109	3	None	PADI KASALLE	-2.216407397
0.111	3	None	Aijiaonante	-2.198225078
0.097	3	None	YRL-1	-2.3330443
0.124	3	None	Caucasica	-2.087473713
0.13	3	None	British Honduras Creole	-2.040220829
0.209	3	None	KPF-16	-1.565421027
0.093	3	None	BR24	-2.375155786
0.129	3	None	1021	-2.047942875
0.156	3	None	IR 36	-1.857899272
0.068	3	None	56-122-23	-2.688247574
0.144	3	None	Pai Hok Glutinous	-1.937941979
0.068	3	None	Dosel	-2.688247574
0.093	3	None	P 737	-2.375155786
0.13	3	None	PAPPAKU	-2.040220829
0.107	3	None	LA 110	-2.234926445
0.132	3	None	JC149	-2.024953356
0.111	3	None	EMATA A 16-34	-2.198225078
0.09	3	None	AZUCENA	-2.407945609
0.169	3	None	PATE BLANC MN 1	-1.777856564
0.121	3	None	IAC 25	-2.111964733
0.102	3	None	OSOGOVKA	-2.282782466
0.075	3	None	ARIAS	-2.590267165
0.093	3	None	583	-2.375155786
0.134	3	None	PAUNG MALAUNG	-2.009915479
0.069	3	None	TONDOK	-2.673648774
0.184	3	None	GHATI KAMMA NANGARHAR	-1.692819521
0.097	4	RP	DEOKJEOKJODO	-2.3330443
0.125	4	RP	YRL-1	-2.079441542
0.134	4	RP	PADI KASALLE	-2.009915479
0.125	4	RP	Mojito Colorado	-2.079441542
0.186	4	RP	Kon Suito	-1.682008605
0.117	4	RP	NOVA	-2.145581344
0.105	4	RP	P 737	-2.253794929
0.1	4	RP	9524	-2.302585093
0.042	4	RP	Dosel	-3.170085661
0.109	4	RP	KHAO HAWM	-2.216407397
0.126	4	RP	Djimoron	-2.071473372
0.082	4	RP	ARIAS	-2.501036032
0.116	4	RP	AZUCENA	-2.154165088
0.156	4	RP	BALDO	-1.857899272
0.121	4	RP	Bergreis	-2.111964733
0.169	4	RP	Aijiaonante	-1.777856564
0.142	4	RP	TAICHUNG NATIVE 1	-1.951928221
0.214	4	RP	GHATI KAMMA NANGARHAR	-1.541779264
0.087	4	RP	BASMATI 217	-2.44184716
0.21	4	RP	NIRA	-1.560647748
0.119	4	RP	325	-2.128631786
0.216	4	RP	KALUBALA VEE	-1.532476871
0.145	4	RP	EMATA A 16-34	-1.931021537
0.091	4	RP	WC 4419	-2.396895772
0.154	4	RP	PEH-KUH-TSAO-TU	-1.870802677
0.073	4	RP	MANSAKU	-2.617295838
0.137	4	RP	583	-1.987774353
0.163	4	RP	OSOGOVKA	-1.814005078
0.209	4	RP	WC 6	-1.565421027
0.135	4	RP	SRI MALAYSIA DUA	-2.002480501
0.136	4	RP	AGOSTANO	-1.995100393
0.202	4	RP	JC149	-1.599487582
0.104	4	RP	IR-44595	-2.26336438
0.022	4	RP	LUK TAKHAR	-3.816712826
0.162	4	RP	318	-1.820158944
0.201	4	RP	BLACK GORA	-1.604450371
0.132	4	RP	IR 36	-2.024953356
0.174	4	RP	Caucasica	-1.74869998
0.209	4	RP	DNJ 140	-1.565421027
0.171	4	RP	Pai Hok Glutinous	-1.766091722
0.128	4	RP	NPE 844	-2.055725015
0.155	4	RP	PAPPAKU	-1.864330162
0.106	4	RP	LEMONT	-2.244316185
0.174	4	RP	519	-1.74869998
0.156	4	RP	IAC 25	-1.857899272
0.138	4	RP	SML 242	-1.980501594
0.041	4	RP	BLUE ROSE	-3.194183212
0.107	4	RP	JAMBU	-2.234926445
0.124	4	RP	CI 11026	-2.087473713
0.123	4	RP	SUNG LIAO 2	-2.095570924
0.167	4	RP	KPF-16	-1.789761467
0.163	4	RP	BR24	-1.814005078
0.166	4	RP	British Honduras Creole	-1.795767491
0.153	4	RP	ASSE Y PUNG	-1.877317358
0.157	4	RP	PATE BLANC MN 1	-1.851509474
0.111	4	RP	56-122-23	-2.198225078
0.185	4	RP	CENIT	-1.687399454
0.139	4	RP	BELLARDONE	-1.973281346
0.159	4	RP	Priano Guaira	-1.838851077
0.129	4	RP	FORTUNA	-2.047942875
0.159	4	RP	1021	-1.838851077
0.108	4	RP	KITRANA 508	-2.225624052
0.116	4	RP	SHINRIKI	-2.154165088
0.19	4	RP	LA 110	-1.660731207
0.117	4	RP	BLUE ROSE SUPREME	-2.145581344
0.148	4	RP	KALAMKATI	-1.910543005
0.155	4	RP	PAUNG MALAUNG	-1.864330162
0.122	4	RP	PAGAIYAHAN	-2.103734234
0.111	4	RP	T26	-2.198225078
0.172	4	RP	CHINA 1039	-1.760260802
0.133	4	RP	WC 4443	-2.017406151
0.173	4	RP	Niquen	-1.754463684
0.175	4	RP	Sadri Tor Misri	-1.742969305
0.085	4	RP	TONDOK	-2.465104022
0.184	4	RP	KUN-MIN-TSIEH-HUNAN	-1.692819521
0.104	4	None	DEOKJEOKJODO	-2.26336438
0.119	4	None	YRL-1	-2.128631786
0.158	4	None	PADI KASALLE	-1.845160246
0.12	4	None	Mojito Colorado	-2.120263536
0.183	4	None	Kon Suito	-1.698269126
0.119	4	None	NOVA	-2.128631786
0.111	4	None	P 737	-2.198225078
0.12	4	None	9524	-2.120263536
0.123	4	None	Dosel	-2.095570924
0.09	4	None	KHAO HAWM	-2.407945609
0.129	4	None	Djimoron	-2.047942875
0.066	4	None	ARIAS	-2.718100537
0.13	4	None	AZUCENA	-2.040220829
0.192	4	None	BALDO	-1.650259907
0.139	4	None	Bergreis	-1.973281346
0.176	4	None	Aijiaonante	-1.737271284
0.149	4	None	TAICHUNG NATIVE 1	-1.903808973
0.256	4	None	GHATI KAMMA NANGARHAR	-1.362577835
0.098	4	None	BASMATI 217	-2.3227878
0.265	4	None	NIRA	-1.328025453
0.146	4	None	325	-1.924148657
0.253	4	None	KALUBALA VEE	-1.37436579
0.157	4	None	EMATA A 16-34	-1.851509474
0.138	4	None	WC 4419	-1.980501594
0.226	4	None	PEH-KUH-TSAO-TU	-1.48722028
0.106	4	None	MANSAKU	-2.244316185
0.13	4	None	583	-2.040220829
0.174	4	None	OSOGOVKA	-1.74869998
0.204	4	None	WC 6	-1.589635285
0.14	4	None	SRI MALAYSIA DUA	-1.966112856
0.177	4	None	AGOSTANO	-1.731605546
0.222	4	None	JC149	-1.505077897
0.107	4	None	IR-44595	-2.234926445
0.046	4	None	LUK TAKHAR	-3.079113882
0.177	4	None	318	-1.731605546
0.254	4	None	BLACK GORA	-1.370421012
0.148	4	None	IR 36	-1.910543005
0.165	4	None	Caucasica	-1.801809805
0.236	4	None	DNJ 140	-1.443923474
0.216	4	None	Pai Hok Glutinous	-1.532476871
0.19	4	None	NPE 844	-1.660731207
0.163	4	None	PAPPAKU	-1.814005078
0.125	4	None	LEMONT	-2.079441542
0.157	4	None	519	-1.851509474
0.196	4	None	IAC 25	-1.62964062
0.177	4	None	SML 242	-1.731605546
0.135	4	None	BLUE ROSE	-2.002480501
0.147	4	None	JAMBU	-1.917322692
0.13	4	None	CI 11026	-2.040220829
0.129	4	None	SUNG LIAO 2	-2.047942875
0.167	4	None	KPF-16	-1.789761467
0.204	4	None	BR24	-1.589635285
0.178	4	None	British Honduras Creole	-1.725971729
0.14	4	None	ASSE Y PUNG	-1.966112856
0.173	4	None	PATE BLANC MN 1	-1.754463684
0.089	4	None	56-122-23	-2.419118909
0.154	4	None	CENIT	-1.870802677
0.131	4	None	BELLARDONE	-2.032557956
0.15	4	None	Priano Guaira	-1.897119985
0.119	4	None	FORTUNA	-2.128631786
0.199	4	None	1021	-1.614450454
0.122	4	None	KITRANA 508	-2.103734234
0.126	4	None	SHINRIKI	-2.071473372
0.126	4	None	LA 110	-2.071473372
0.146	4	None	BLUE ROSE SUPREME	-1.924148657
0.17	4	None	KALAMKATI	-1.771956842
0.168	4	None	PAUNG MALAUNG	-1.7837913
0.168	4	None	PAGAIYAHAN	-1.7837913
0.139	4	None	T26	-1.973281346
0.191	4	None	CHINA 1039	-1.655481851
0.133	4	None	WC 4443	-2.017406151
0.182	4	None	Niquen	-1.703748592
0.251	4	None	Sadri Tor Misri	-1.38230234
0.127	4	None	TONDOK	-2.063568193
0.165	4	None	KUN-MIN-TSIEH-HUNAN	-1.801809805
0.069	4	AMF+RP	DEOKJEOKJODO	-2.673648774
0.087	4	AMF+RP	YRL-1	-2.44184716
0.096	4	AMF+RP	PADI KASALLE	-2.343407088
0.08	4	AMF+RP	Mojito Colorado	-2.525728644
0.111	4	AMF+RP	Kon Suito	-2.198225078
0.05	4	AMF+RP	NOVA	-2.995732274
0.069	4	AMF+RP	P 737	-2.673648774
0.107	4	AMF+RP	9524	-2.234926445
0.075	4	AMF+RP	Dosel	-2.590267165
0.054	4	AMF+RP	KHAO HAWM	-2.918771232
0.09	4	AMF+RP	Djimoron	-2.407945609
0.057	4	AMF+RP	ARIAS	-2.864704011
0.058	4	AMF+RP	AZUCENA	-2.847312268
0.084	4	AMF+RP	BALDO	-2.47693848
0.084	4	AMF+RP	Bergreis	-2.47693848
0.125	4	AMF+RP	Aijiaonante	-2.079441542
0.091	4	AMF+RP	TAICHUNG NATIVE 1	-2.396895772
0.126	4	AMF+RP	GHATI KAMMA NANGARHAR	-2.071473372
0.018	4	AMF+RP	BASMATI 217	-4.017383521
0.123	4	AMF+RP	NIRA	-2.095570924
0.106	4	AMF+RP	325	-2.244316185
0.099	4	AMF+RP	KALUBALA VEE	-2.312635429
0.066	4	AMF+RP	EMATA A 16-34	-2.718100537
0.077	4	AMF+RP	WC 4419	-2.563949857
0.085	4	AMF+RP	PEH-KUH-TSAO-TU	-2.465104022
0.051	4	AMF+RP	MANSAKU	-2.975929646
0.097	4	AMF+RP	583	-2.3330443
0.065	4	AMF+RP	OSOGOVKA	-2.733368009
0.115	4	AMF+RP	WC 6	-2.162823151
0.054	4	AMF+RP	SRI MALAYSIA DUA	-2.918771232
0.042	4	AMF+RP	AGOSTANO	-3.170085661
0.132	4	AMF+RP	JC149	-2.024953356
0.086	4	AMF+RP	IR-44595	-2.453407983
0.024	4	AMF+RP	LUK TAKHAR	-3.729701449
0.091	4	AMF+RP	318	-2.396895772
0.092	4	AMF+RP	BLACK GORA	-2.385966702
0.066	4	AMF+RP	IR 36	-2.718100537
0.098	4	AMF+RP	Caucasica	-2.3227878
0.112	4	AMF+RP	DNJ 140	-2.189256408
0.083	4	AMF+RP	Pai Hok Glutinous	-2.488914671
0.105	4	AMF+RP	NPE 844	-2.253794929
0.095	4	AMF+RP	PAPPAKU	-2.353878387
0.068	4	AMF+RP	LEMONT	-2.688247574
0.107	4	AMF+RP	519	-2.234926445
0.082	4	AMF+RP	IAC 25	-2.501036032
0.093	4	AMF+RP	SML 242	-2.375155786
0.065	4	AMF+RP	BLUE ROSE	-2.733368009
0.097	4	AMF+RP	JAMBU	-2.3330443
0.096	4	AMF+RP	CI 11026	-2.343407088
0.078	4	AMF+RP	SUNG LIAO 2	-2.551046452
0.081	4	AMF+RP	KPF-16	-2.513306124
0.107	4	AMF+RP	BR24	-2.234926445
0.083	4	AMF+RP	British Honduras Creole	-2.488914671
0.076	4	AMF+RP	ASSE Y PUNG	-2.577021939
0.078	4	AMF+RP	PATE BLANC MN 1	-2.551046452
0.07	4	AMF+RP	56-122-23	-2.659260037
0.06	4	AMF+RP	CENIT	-2.813410717
0.06	4	AMF+RP	BELLARDONE	-2.813410717
0.098	4	AMF+RP	Priano Guaira	-2.3227878
0.087	4	AMF+RP	FORTUNA	-2.44184716
0.085	4	AMF+RP	1021	-2.465104022
0.074	4	AMF+RP	KITRANA 508	-2.603690186
0.087	4	AMF+RP	SHINRIKI	-2.44184716
0.11	4	AMF+RP	LA 110	-2.207274913
0.093	4	AMF+RP	BLUE ROSE SUPREME	-2.375155786
0.087	4	AMF+RP	KALAMKATI	-2.44184716
0.095	4	AMF+RP	PAUNG MALAUNG	-2.353878387
0.08	4	AMF+RP	PAGAIYAHAN	-2.525728644
0.073	4	AMF+RP	T26	-2.617295838
0.116	4	AMF+RP	CHINA 1039	-2.154165088
0.079	4	AMF+RP	WC 4443	-2.538307427
0.13	4	AMF+RP	Niquen	-2.040220829
0.113	4	AMF+RP	Sadri Tor Misri	-2.18036746
0.074	4	AMF+RP	TONDOK	-2.603690186
0.082	4	AMF+RP	KUN-MIN-TSIEH-HUNAN	-2.501036032
