"lake_size" "phosphorous" "country" "weight_trawl" "num_species"
24.2 1.408 "Loas" 40.43 8
11.6 1.484 "Cambodia" 54.24 6
52.7 0.534 "Thailand" 75.49 6
17.1 0.292 "Thailand" 63.68 5
33.2 1.025 "Loas" 49.24 5
44.5 0.919 "Cambodia" 65.95 5
58.2 0.582 "Cambodia" 85.47 6
76.1 1.24 "Cambodia" 82.98 10
26.6 0.496 "Cambodia" 62.72 5
47.7 1.284 "Cambodia" 78.08 4
46.7 0.292 "Cambodia" 74.07 10
70.2 1.307 "Cambodia" 84.61 11
68.6 0.194 "Cambodia" 71.61 13
78.2 0.709 "Cambodia" 80.81 11
82.7 1.052 "Loas" 68.15 17
88.1 0.388 "Cambodia" 94.23 15
55.2 1.42 "Loas" 61.48 13
52.8 0.631 "Loas" 52.54 11
24 0.977 "Thailand" 63.1 5
49.3 0.357 "Cambodia" 90.86 5
30.8 1.023 "Thailand" 67.47 1
13.3 1.129 "Loas" 33.74 8
62.1 0.794 "Cambodia" 72.66 8
54.2 1.316 "Thailand" 69.99 9
21.5 1.265 "Thailand" 64.92 4
33.3 1.477 "Loas" 46.62 2
57.8 1.034 "Thailand" 74.19 12
23.5 1 "Cambodia" 64.13 7
17.9 0.163 "Cambodia" 67.06 4
45.1 0.367 "Loas" 52.67 8
39.2 0.146 "Thailand" 70.62 8
79.3 1.286 "Cambodia" 82.74 12
31.3 0.694 "Cambodia" 58.63 2
11.9 1.244 "Thailand" 57.39 1
80.7 0.312 "Thailand" 87.8 15
37.4 0.668 "Thailand" 69.72 5
61.8 1.112 "Thailand" 72.62 11
54.8 0.183 "Cambodia" 78.13 8
40.9 0.562 "Thailand" 58.12 3
25.2 1.187 "Cambodia" 53.44 11
45.2 1.277 "Loas" 58.82 3
61.7 1.319 "Cambodia" 73.56 10
52.7 1.434 "Loas" 56.74 11
64.1 0.638 "Cambodia" 74.28 11
69.8 1.431 "Cambodia" 72.45 7
49.9 1.086 "Thailand" 70.62 10
41.5 0.691 "Cambodia" 71.25 9
10.6 0.648 "Cambodia" 48.45 1
10.3 0.395 "Cambodia" 54.65 1
91.6 1.153 "Thailand" 100.05 24
18.8 0.723 "Cambodia" 56.19 5
44.3 0.735 "Cambodia" 69.52 7
68.9 0.217 "Cambodia" 83.31 15
70.9 0.611 "Loas" 69.59 18
81.5 1.353 "Thailand" 89.8 15
59.8 0.862 "Loas" 59.1 13
72 0.143 "Thailand" 89.19 15
79.5 0.644 "Thailand" 83.92 17
60.2 0.259 "Thailand" 80.1 10
75 0.488 "Loas" 74.69 14
11.9 1.107 "Thailand" 47.01 2
44.2 0.626 "Loas" 56.64 12
81.7 0.988 "Cambodia" 89.75 9
63.1 0.795 "Loas" 63.16 9
85.8 1.23 "Loas" 71.83 27
24.1 0.915 "Loas" 40.77 8
35.9 0.341 "Thailand" 73.12 7
75.9 1.412 "Loas" 62.58 15
91.1 0.175 "Thailand" 97.64 16
36.4 0.222 "Loas" 51.94 6
10.1 1.278 "Cambodia" 45.18 2
91.4 0.689 "Loas" 74.3 23
22.2 1.104 "Cambodia" 53.08 3
14 1.131 "Thailand" 55.89 5
59 1.482 "Thailand" 73.66 6
36.3 1.445 "Loas" 54.86 9
53.3 0.299 "Loas" 60.67 12
75.2 1.031 "Thailand" 81.98 11
15.7 0.146 "Thailand" 54.69 3
67 0.792 "Cambodia" 76.72 12
87.8 1.208 "Loas" 74.96 18
32.8 0.631 "Loas" 45.3 4
30.5 1.428 "Thailand" 60.67 3
23.1 1.025 "Cambodia" 60.51 5
15.9 0.706 "Cambodia" 46.86 4
55.7 1.274 "Thailand" 71.83 7
50.2 1.227 "Cambodia" 72.96 7
50.5 0.698 "Thailand" 73.03 7
82.8 0.561 "Thailand" 83.69 12
13 0.891 "Loas" 40.85 5
26.7 1.306 "Thailand" 59.27 5
52.1 0.92 "Thailand" 78.69 9
29.4 1.003 "Loas" 48.58 4
57.2 1.174 "Cambodia" 70.74 6
49.5 1.07 "Loas" 60.02 10
56.7 1.314 "Thailand" 72.5 7
21.8 0.233 "Cambodia" 63.04 4
21.9 0.954 "Thailand" 65.21 4
43.8 0.437 "Thailand" 69.03 4
66 0.757 "Loas" 69.24 7
63.6 0.497 "Loas" 56.72 8
85.1 1.386 "Thailand" 75.05 13
76.7 0.66 "Thailand" 77.4 12
65.4 0.891 "Loas" 65.64 9
76.2 0.213 "Thailand" 74.57 6
20.5 1.42 "Loas" 27.83 7
30.6 1.13 "Cambodia" 73 3
37.2 0.765 "Loas" 52.92 8
43.4 0.355 "Thailand" 71.98 6
62.1 1.123 "Cambodia" 77.38 9
76.3 0.96 "Cambodia" 91.71 9
31.2 0.185 "Loas" 48.86 7
77.2 0.175 "Cambodia" 91.85 15
11.3 0.737 "Thailand" 53.94 3
63.7 0.353 "Cambodia" 77.85 8
76.6 0.788 "Thailand" 81.49 15
47.8 1.475 "Loas" 45.62 10
26.7 0.414 "Loas" 46.73 7
11.5 1.098 "Cambodia" 44.56 1
33.2 0.31 "Loas" 48.29 5
85.1 0.836 "Loas" 69.11 23
86.6 1.26 "Cambodia" 90 17
54.5 0.278 "Thailand" 82.88 7
28 1.248 "Loas" 50.11 3
50.1 0.444 "Loas" 54.39 16
75.7 0.236 "Thailand" 76.51 16
43.4 0.329 "Thailand" 69.7 5
18.5 1.03 "Cambodia" 50.63 2
33 1.048 "Thailand" 60.61 4
39.6 0.286 "Cambodia" 70.56 6
31.3 1.471 "Cambodia" 60.79 5
48.6 0.305 "Thailand" 84.72 3
40 1.419 "Thailand" 65.86 7
19.9 1.08 "Thailand" 62.07 1
13.9 0.895 "Thailand" 49.15 7
31.5 0.445 "Thailand" 63.33 8
89.4 0.577 "Thailand" 96.94 17
50.1 1.276 "Loas" 59.59 13
49.2 1.39 "Loas" 48.7 10
71.4 0.822 "Loas" 65.16 25
64.7 1.343 "Cambodia" 78.31 10
14.1 1.086 "Thailand" 52.93 3
67 0.693 "Cambodia" 78.7 11
39.8 0.52 "Thailand" 62.33 7
82.5 1.449 "Loas" 79.34 22
73.6 0.275 "Cambodia" 89.83 18
21.4 1.052 "Loas" 48.07 8
34.2 1.248 "Loas" 48.53 6
20.3 0.403 "Cambodia" 64.39 8
58.4 0.932 "Cambodia" 78.53 7
56.1 0.326 "Thailand" 76.5 8
66.5 0.668 "Loas" 62.78 14
35.5 0.434 "Loas" 45.25 12
59.7 0.839 "Cambodia" 78.83 12
91.3 1.039 "Cambodia" 97.44 19
70.9 1.371 "Thailand" 80.12 14
16.2 0.566 "Cambodia" 51.88 2
47 0.44 "Loas" 61.37 15
14.4 0.534 "Cambodia" 50.25 4
37.8 0.418 "Thailand" 66.67 8
70.2 0.272 "Thailand" 83.92 18
10.3 0.475 "Loas" 43.28 2
73.3 1.393 "Loas" 58.7 21
48 0.179 "Loas" 61.33 12
69.1 0.802 "Thailand" 77.27 12
64.7 1.211 "Loas" 62 11
56.9 1.273 "Loas" 59.7 11
67.7 0.907 "Thailand" 81.1 16
63.9 0.439 "Thailand" 79.93 10
33.7 0.915 "Thailand" 59.21 1
18 0.293 "Thailand" 59.89 4
88.9 0.776 "Cambodia" 93.72 19
70.4 0.231 "Thailand" 82.05 8
60.2 0.527 "Thailand" 81.44 10
19.8 1.047 "Loas" 49.21 5
55.1 0.387 "Cambodia" 78.07 9
31.5 0.653 "Cambodia" 67.88 5
83.7 1.224 "Loas" 75.42 16
10.8 0.42 "Thailand" 58.25 3
29.4 0.208 "Cambodia" 66.39 5
20.7 1.19 "Loas" 40.46 7
36.8 1.038 "Cambodia" 66.98 8
69.6 0.816 "Thailand" 86.01 17
91.3 0.4 "Cambodia" 90.32 18
68.6 0.363 "Thailand" 84.36 10
51.4 0.956 "Cambodia" 78.79 7
45.8 0.154 "Thailand" 69.18 5
87.8 0.421 "Cambodia" 92.56 11
19.9 1.254 "Thailand" 55.5 2
16.2 0.521 "Cambodia" 63.12 1
82.9 0.123 "Cambodia" 86.91 14
44.8 1.446 "Thailand" 68.7 7
13.5 0.223 "Loas" 39.76 8
63.1 1.147 "Loas" 59.92 19
48.4 1.27 "Thailand" 81.28 8
60.7 0.122 "Cambodia" 81.64 16
32.2 1.294 "Thailand" 67.58 5
22.9 0.87 "Cambodia" 61.53 6
19.4 0.576 "Cambodia" 62.59 3
51.6 0.556 "Loas" 69.39 15
54.9 0.995 "Loas" 59.79 12
21.5 0.279 "Thailand" 64.55 4
23.9 0.536 "Loas" 51.99 6
72.5 0.916 "Loas" 75.23 22
53.2 1.163 "Thailand" 87.08 8
80.6 0.872 "Cambodia" 89.12 15
65.2 1.063 "Loas" 64.73 15
11.1 0.62 "Loas" 39.95 5
66.8 1.369 "Loas" 69.66 11
83.1 1.466 "Loas" 77.09 18
61.8 1.173 "Thailand" 78.94 4
18.8 0.117 "Loas" 46.38 5
85.5 0.832 "Loas" 80.15 15
65.4 1.219 "Cambodia" 71.25 11
22.2 0.39 "Thailand" 66.47 8
71.1 0.641 "Thailand" 79 13
87.3 0.859 "Cambodia" 92.19 11
44.5 1.142 "Loas" 62.54 8
34.4 0.567 "Cambodia" 66.67 6
31.3 0.555 "Cambodia" 60.59 5
28.3 0.693 "Loas" 45 8
56.4 0.487 "Cambodia" 76.47 11
72 0.977 "Cambodia" 78.03 13
64.9 0.161 "Loas" 66.85 14
54.8 0.949 "Cambodia" 74.15 2
76.5 0.684 "Thailand" 85.13 13
72.3 0.161 "Thailand" 87.58 8
11.6 1.491 "Cambodia" 51 1
41.2 0.977 "Cambodia" 65.33 6
14.2 1.274 "Thailand" 50.88 4
75.4 0.656 "Cambodia" 82.97 10
85.7 1.434 "Loas" 70.78 16
54.5 0.63 "Thailand" 72.77 10
79.9 1.248 "Loas" 67.79 17
57.9 0.11 "Thailand" 74.13 11
64.8 1.323 "Cambodia" 79.76 10
51.9 0.204 "Loas" 60.69 13
72.5 1.243 "Loas" 74.25 14
84.1 0.92 "Loas" 69.33 28
77.3 1.056 "Thailand" 88.88 12
15.9 1.1 "Loas" 36.41 5
10.3 0.492 "Thailand" 55.42 2
14.3 1.043 "Loas" 29.77 7
81.1 0.516 "Cambodia" 84.9 13
57.3 0.899 "Loas" 67.27 11
35.7 0.177 "Loas" 56.77 9
88.7 0.587 "Cambodia" 92.94 23
58.5 0.797 "Thailand" 76.4 12
53.6 0.844 "Cambodia" 71.63 7
41.5 1.242 "Loas" 51.55 7
36.2 0.814 "Cambodia" 62.15 5
76.3 1.289 "Loas" 66.28 14
13.4 0.932 "Cambodia" 62.73 3
39.8 0.853 "Cambodia" 71.44 5
80.2 0.978 "Cambodia" 100.32 11
67.2 0.509 "Cambodia" 86.64 17
66.1 0.894 "Loas" 64.44 16
38.5 1.499 "Thailand" 66.59 14
55.5 1.389 "Thailand" 74.76 6
21.3 1.177 "Thailand" 63.45 7
74.4 1.281 "Thailand" 81.66 13
82.7 1.391 "Loas" 82.09 28
26.7 0.941 "Loas" 41.95 8
73.2 0.615 "Cambodia" 83.97 10
58.9 1.146 "Thailand" 75.39 9
88.5 0.779 "Cambodia" 90.83 15
23 0.107 "Thailand" 70.08 5
53.1 1.042 "Thailand" 70.18 10
81.6 0.665 "Cambodia" 91.66 11
81.3 1.434 "Thailand" 78.1 18
11.9 0.288 "Cambodia" 49.64 2
90 0.629 "Thailand" 97.24 16
50.2 1.36 "Thailand" 65.91 5
41.9 1.225 "Cambodia" 67.42 4
44.2 0.809 "Cambodia" 65.26 9
17.6 0.125 "Cambodia" 56.57 3
23.3 0.45 "Loas" 40.14 6
43.2 0.528 "Thailand" 69.76 7
38 1.026 "Thailand" 66.44 4
44.1 0.237 "Thailand" 69.42 9
34.9 1.451 "Cambodia" 53.25 10
55.9 1.314 "Thailand" 71.89 9
22.8 0.499 "Cambodia" 49.57 5
88.4 0.709 "Cambodia" 88.2 13
13.6 0.577 "Loas" 42.12 0
40.5 0.587 "Thailand" 65.59 4
88.9 0.526 "Thailand" 86.99 9
62.9 1.38 "Loas" 66.12 14
15 0.497 "Loas" 33.75 2
43.6 1.315 "Loas" 47.86 11
44.9 1.243 "Cambodia" 70.44 9
51.7 0.358 "Cambodia" 65.4 5
46.9 0.418 "Cambodia" 75.13 9
61.1 1.032 "Thailand" 78.9 9
21.5 0.755 "Thailand" 62.19 5
84.5 0.253 "Cambodia" 96.49 15
56.7 0.304 "Thailand" 70.93 7
55 0.544 "Thailand" 75.13 5
19.6 0.95 "Thailand" 47.62 5
72.5 1.426 "Cambodia" 87.59 8
49.2 0.692 "Loas" 65.18 9
74.1 1.397 "Loas" 74.59 19
13.8 0.239 "Loas" 41.03 4
77.2 1.313 "Thailand" 83.81 15
32.1 0.465 "Thailand" 63.35 2
33.2 0.498 "Thailand" 70.1 10
62.7 0.332 "Cambodia" 77.28 9
87.7 0.142 "Loas" 74.17 22
10.6 0.237 "Loas" 41.72 4
38.8 0.268 "Cambodia" 64.33 6
44.4 0.372 "Loas" 55.22 7
47.5 1.261 "Loas" 58.48 8
68.4 0.121 "Cambodia" 92.94 6
85.4 0.64 "Thailand" 86.03 14
61.4 1.38 "Loas" 57.08 12
84 0.121 "Cambodia" 88.56 14
72.1 0.534 "Cambodia" 94.1 10
21.3 0.7 "Thailand" 61.57 3
22.6 0.887 "Loas" 45.69 7
25.7 1.389 "Loas" 39.48 9
45.5 0.824 "Loas" 48.56 7
17.2 1.136 "Cambodia" 57.95 5
28.3 0.965 "Loas" 55.97 6
56.9 0.388 "Thailand" 74.29 5
42.8 0.812 "Thailand" 65.98 6
56.4 0.185 "Loas" 68.51 14
78 1.184 "Loas" 79.75 17
62.7 0.386 "Loas" 53.97 13
42.1 1.3 "Cambodia" 67.19 2
68.2 0.819 "Cambodia" 81.83 8
18.9 0.452 "Cambodia" 61.2 5
32.4 1.238 "Loas" 50.27 6
58.7 0.194 "Thailand" 76.94 7
23.1 0.137 "Cambodia" 69.53 4
80 0.935 "Thailand" 79.82 14
79.5 1.286 "Thailand" 85.38 15
49.2 0.733 "Cambodia" 71.36 3
73.4 0.803 "Loas" 58.9 27
34.2 0.394 "Loas" 68.66 8
15.4 1.102 "Loas" 45.1 2
46.1 0.851 "Cambodia" 75.67 8
47.9 0.169 "Loas" 58.79 7
38 1.252 "Cambodia" 67.98 4
25.2 0.453 "Loas" 42.5 8
51.6 0.83 "Loas" 51.82 7
11.6 0.558 "Loas" 45.73 3
73.4 0.255 "Thailand" 89.43 14
55.9 1.292 "Loas" 59.77 14
62.6 0.974 "Loas" 63.96 11
48.4 1.287 "Thailand" 68.9 4
32.9 0.276 "Loas" 54.47 10
47.8 1.036 "Loas" 56.48 8
75 0.951 "Loas" 68.34 16
58 1.424 "Thailand" 77.64 7
42.4 0.913 "Loas" 51.24 4
76.5 0.524 "Loas" 72.85 20
36.1 1.409 "Loas" 52.25 9
57.7 1.282 "Cambodia" 75.97 7
47.4 0.694 "Thailand" 63.77 11
32 0.78 "Cambodia" 63.33 2
55.5 1.176 "Thailand" 74.16 5
29 0.453 "Cambodia" 60.94 2
54.5 1.237 "Cambodia" 75.15 12
46.7 1.251 "Cambodia" 73.15 8
20.7 0.684 "Loas" 48.75 3
61 1.383 "Loas" 59.78 11
54.9 0.199 "Thailand" 75.1 2
22.2 1.234 "Loas" 37.47 1
55.9 0.78 "Thailand" 80.37 7
45 0.527 "Loas" 57.34 9
46.7 0.965 "Loas" 51.27 14
78.3 0.547 "Thailand" 91.69 14
69 1.013 "Thailand" 77.65 12
47.5 1.382 "Thailand" 72.08 9
52.7 0.897 "Cambodia" 81.12 6
29.9 0.993 "Thailand" 61.44 4
16.2 0.682 "Thailand" 60.54 5
42.1 1.215 "Loas" 49.79 5
11.1 1.307 "Loas" 41.11 4
81.1 0.614 "Loas" 74.92 25
91.4 0.783 "Loas" 74.04 24
68.1 1.355 "Cambodia" 78.99 9
77.8 0.749 "Thailand" 92.35 10
83.1 0.393 "Cambodia" 86.53 11
54.2 1.047 "Thailand" 72.86 10
55.5 1.128 "Thailand" 70.54 7
32.7 1.014 "Cambodia" 65.17 3
64.1 0.39 "Loas" 68.25 11
30 1.445 "Loas" 45.96 7
33.6 0.11 "Loas" 49.68 9
68.7 1.363 "Thailand" 70.77 13
69.7 0.226 "Thailand" 82.96 6
24.2 1.272 "Loas" 49.03 5
35.1 0.876 "Thailand" 61.29 6
40.3 0.945 "Loas" 62.04 4
16.4 1.236 "Thailand" 57.63 3
68.5 0.468 "Loas" 66.65 11
55.2 0.156 "Loas" 69.78 11
21.1 0.294 "Loas" 51.16 4
89.9 0.248 "Cambodia" 92.71 19
56.1 0.346 "Loas" 65.08 19
74.6 1.446 "Thailand" 88.7 15
79.6 0.372 "Cambodia" 84.36 9
82 0.565 "Loas" 75.88 23
75.6 1.069 "Thailand" 84.31 4
62.5 1.071 "Cambodia" 73.49 12
61.6 0.501 "Loas" 74.17 8
32.3 0.519 "Cambodia" 65.11 8
12.5 0.702 "Cambodia" 52.16 4
44.4 0.636 "Thailand" 73.82 8
39.1 1.37 "Cambodia" 71.68 4
42.2 0.849 "Thailand" 72.65 2
24.1 0.95 "Cambodia" 64.88 3
36.2 0.806 "Thailand" 50.87 3
43.9 0.806 "Thailand" 70.06 6
72.3 0.693 "Cambodia" 82.89 13
32.3 0.405 "Cambodia" 61.26 4
19.5 0.547 "Loas" 47.91 2
12.4 0.438 "Loas" 37.68 2
76.2 0.102 "Thailand" 83.95 18
49.4 0.413 "Cambodia" 73.77 11
76.1 1.457 "Thailand" 84.33 19
16.5 0.705 "Cambodia" 64.42 5
19.5 1.449 "Cambodia" 51.35 1
20.6 0.458 "Cambodia" 65.22 1
70.6 0.29 "Thailand" 86.12 14
72.1 0.888 "Loas" 64.45 23
91.4 0.707 "Thailand" 96.85 12
61.2 1.308 "Thailand" 75.9 14
33.7 1.382 "Loas" 51.06 4
26.4 0.966 "Cambodia" 66.52 6
75.7 1.277 "Cambodia" 89.33 10
69.7 0.504 "Thailand" 88.15 12
27.8 1.359 "Thailand" 54.46 4
71 0.298 "Thailand" 76.72 7
81.1 0.299 "Thailand" 92.14 13
53.4 0.911 "Thailand" 67.62 4
59.1 1.493 "Cambodia" 73.68 9
86.9 0.847 "Cambodia" 94.67 23
88 0.28 "Cambodia" 101.68 16
64.2 0.348 "Cambodia" 83.4 5
15.9 1.184 "Thailand" 53.36 1
77.8 1.011 "Thailand" 91.09 13
49.3 0.879 "Cambodia" 64.51 11
42.1 1.144 "Loas" 49.86 10
34.5 0.58 "Loas" 45.92 8
30 0.648 "Loas" 48.65 11
44.6 0.593 "Loas" 52.85 12
86.9 0.972 "Thailand" 85.42 17
31.7 0.325 "Thailand" 60.19 5
56.6 0.445 "Thailand" 74.69 8
26.6 1.427 "Cambodia" 58.15 6
25.8 1.484 "Thailand" 62.51 9
68.9 0.85 "Thailand" 80.43 22
35.7 0.163 "Cambodia" 71.27 4
21.3 0.943 "Loas" 50.39 5
14.8 1.11 "Thailand" 53.34 0
86.4 0.916 "Thailand" 93.4 18
56.6 0.837 "Cambodia" 76.37 10
19.7 0.595 "Cambodia" 60.4 7
56.3 0.212 "Cambodia" 82.32 11
54.3 0.28 "Thailand" 87.32 5
77.2 0.612 "Cambodia" 84.53 12
67.6 0.94 "Cambodia" 86.28 4
56.6 0.433 "Cambodia" 71.07 14
69.1 0.125 "Cambodia" 83.78 11
71.7 0.534 "Thailand" 78.21 8
41.3 0.209 "Cambodia" 76.44 9
33.6 0.451 "Thailand" 63.18 8
53.6 0.297 "Cambodia" 73.69 4
31.3 0.618 "Cambodia" 61.95 2
78.2 0.297 "Cambodia" 93.97 13
43.2 0.895 "Cambodia" 58.84 7
16 0.86 "Cambodia" 59.28 2
88.2 0.329 "Cambodia" 88.65 13
27.8 1.423 "Cambodia" 58.55 3
43.3 0.976 "Cambodia" 67.7 6
61.3 0.191 "Cambodia" 85.73 7
61.5 0.353 "Thailand" 78.35 4
36.9 1.035 "Thailand" 69.99 6
21.4 1.369 "Loas" 40.83 1
85 1.242 "Loas" 73.53 18
59.1 0.719 "Loas" 59.58 14
71.5 0.326 "Cambodia" 87.21 7
85.4 0.332 "Loas" 80.89 26
53.4 0.771 "Thailand" 74.86 10
40.5 0.654 "Loas" 52.24 6
15.4 1.213 "Thailand" 49.29 4
80.1 1.178 "Cambodia" 77.02 17
51.9 0.659 "Thailand" 72.21 14
27.2 0.982 "Cambodia" 54.77 6
40.8 0.678 "Loas" 59.06 7
27 0.612 "Thailand" 55.27 5
47.7 0.969 "Thailand" 77.08 7
29.8 1.438 "Loas" 50.61 7
19.7 0.767 "Cambodia" 54.42 1
15.9 0.969 "Cambodia" 47.55 3
66.7 0.505 "Cambodia" 78.88 19
33.5 0.671 "Cambodia" 70.07 5
22.3 0.723 "Cambodia" 57.89 2
89.7 0.497 "Loas" 73.05 25
43.7 1.458 "Thailand" 61.39 8
42.9 1.336 "Thailand" 73.8 4
63.2 1.232 "Thailand" 81.27 6
85.1 1.092 "Cambodia" 91.03 14
27.8 0.352 "Loas" 50.77 10
54.9 0.19 "Cambodia" 85.64 5
69 0.249 "Thailand" 83.35 15
42.6 1.287 "Thailand" 69.68 7
17.7 0.603 "Cambodia" 58.99 4
62.1 1.199 "Thailand" 77.61 12
10.2 1.371 "Loas" 34.76 2
27.3 0.987 "Cambodia" 59.56 4
65.7 0.961 "Loas" 64.56 8
81 0.195 "Cambodia" 88.69 9
75.6 0.438 "Loas" 67.22 17
21.1 0.675 "Loas" 46.18 11
41.8 1.236 "Cambodia" 69.49 4
74.7 0.631 "Cambodia" 82.2 9
66.8 0.726 "Loas" 63.41 9
58.7 0.899 "Thailand" 78.46 18
20.2 0.284 "Cambodia" 62.61 4
55.5 0.118 "Cambodia" 82.99 6
46.9 1.049 "Thailand" 74.76 7
72.8 1.269 "Cambodia" 91.84 16
12.1 1.411 "Cambodia" 45.85 1
26 0.182 "Loas" 49.46 3
82.3 1.035 "Loas" 83.64 25
19 0.64 "Cambodia" 66.8 4
89.4 0.907 "Cambodia" 89.51 14
41.6 0.294 "Thailand" 71.12 7
80.4 0.458 "Cambodia" 90.65 12
82.8 0.538 "Loas" 74.94 8
50.1 1.101 "Loas" 52.14 11
68.9 0.364 "Cambodia" 81.24 8
49.9 0.299 "Thailand" 79.89 3
91.1 0.904 "Loas" 88.03 22
15.3 0.169 "Loas" 43.62 4
22.9 0.709 "Cambodia" 53.12 2
74.4 0.776 "Thailand" 69.49 14
54.5 0.751 "Thailand" 75.47 8
44.2 0.781 "Thailand" 67.65 5
91.9 1.133 "Thailand" 88.44 19
31 1.487 "Cambodia" 52.56 4
51.6 1.277 "Thailand" 78.49 10
16.5 0.257 "Cambodia" 54.69 7
76.7 1.306 "Cambodia" 79.8 15
41.3 0.895 "Cambodia" 72.64 11
75.8 1.057 "Thailand" 88.41 12
26.2 1.205 "Loas" 46.21 5
87.6 0.664 "Loas" 75.72 19
38.3 1.295 "Thailand" 64.01 8
52.8 0.365 "Loas" 62.02 14
19.2 0.794 "Thailand" 55.12 3
82.6 0.268 "Loas" 72.83 15
88.2 0.42 "Loas" 85.22 18
13.3 1.368 "Loas" 32.22 4
50.5 0.763 "Thailand" 67.94 8
28.5 0.857 "Loas" 41.48 7
80.4 1.463 "Thailand" 82.91 10
53.5 1.461 "Thailand" 75.24 6
10.4 1.06 "Cambodia" 50.5 1
32.8 1.192 "Thailand" 59.43 5
36.7 0.129 "Cambodia" 66.25 8
58.3 1.12 "Loas" 63 16
30.5 1.392 "Loas" 43.31 7
13.5 0.717 "Cambodia" 60.17 7
19.1 1.088 "Thailand" 53.73 7
67.7 1.243 "Loas" 63.54 17
87 0.781 "Loas" 77.79 21
35.5 1.28 "Thailand" 59.71 7
16.4 0.79 "Cambodia" 51.92 2
36.4 0.125 "Thailand" 70.14 7
61.2 0.717 "Loas" 54.72 13
46.1 0.769 "Cambodia" 64.14 6
75.7 0.942 "Thailand" 89.71 14
32.9 0.721 "Thailand" 64.9 2
56.8 0.53 "Cambodia" 73.68 5
13.5 1.042 "Loas" 40.29 3
25.6 0.953 "Cambodia" 66.81 3
69.6 1.463 "Loas" 69.41 21
77.8 0.346 "Thailand" 89.2 11
51.9 1.463 "Cambodia" 73.27 7
56.6 0.911 "Thailand" 75.23 9
10.1 1.133 "Cambodia" 46.74 2
21.8 1.312 "Cambodia" 60.35 9
81 1.006 "Cambodia" 86.85 16
16.8 1.073 "Loas" 33.14 6
30.1 1.494 "Cambodia" 57.54 6
90.5 1.289 "Thailand" 89.45 23
57.4 1.172 "Thailand" 78.75 8
30.4 0.293 "Loas" 54.96 7
60.4 0.233 "Loas" 59.13 15
12.6 0.831 "Loas" 41.81 5
22 0.369 "Thailand" 61.11 3
67.7 1.124 "Cambodia" 77.05 18
15.4 0.792 "Cambodia" 51.67 4
61 0.3 "Cambodia" 73.49 4
86.9 1.278 "Thailand" 94 14
17.2 1.418 "Loas" 41.72 3
89.8 0.489 "Cambodia" 88.23 19
12.1 0.311 "Thailand" 53.34 5
69.5 1.089 "Loas" 61.3 11
47.2 0.891 "Cambodia" 71.46 7
56.4 0.227 "Loas" 70.58 14
81.6 0.884 "Loas" 72.95 20
55.5 0.961 "Thailand" 79.55 12
70.5 0.868 "Loas" 77.02 18
61.1 0.651 "Cambodia" 90.02 13
35.5 0.683 "Thailand" 59.14 1
42.2 1.367 "Thailand" 64.11 3
26.6 1.043 "Loas" 47.28 7
79.9 1.437 "Cambodia" 88.2 12
59.8 0.312 "Loas" 63.86 11
72 0.884 "Thailand" 89.88 12
56.1 0.238 "Cambodia" 74.28 5
32.6 0.973 "Cambodia" 62.94 5
70.3 0.459 "Cambodia" 86.93 11
55 0.771 "Cambodia" 79.64 10
38.4 0.768 "Loas" 60.82 10
52.2 1.263 "Cambodia" 71.97 12
76.9 1.354 "Cambodia" 81 12
53.2 0.908 "Cambodia" 74.91 6
26.6 1.421 "Thailand" 55.12 6
79.5 0.509 "Cambodia" 93.16 7
40.4 0.975 "Thailand" 61.78 2
34.9 0.968 "Loas" 60.64 6
73.2 1.008 "Thailand" 88.08 18
70.1 0.429 "Thailand" 81.78 7
78.8 0.665 "Cambodia" 83.07 20
56.7 0.339 "Cambodia" 81.84 9
12.2 0.827 "Cambodia" 60.32 2
49.9 0.918 "Cambodia" 60.98 4
54.5 0.212 "Cambodia" 86.13 6
78.6 1.12 "Loas" 68.28 14
69.8 0.96 "Loas" 61.53 17
55.5 1.039 "Loas" 60.13 12
16 0.515 "Cambodia" 54.51 6
21.2 0.605 "Thailand" 65.23 4
66.1 0.983 "Thailand" 83.43 10
18.2 1.444 "Thailand" 51.35 4
26.7 0.611 "Cambodia" 65.18 6
40 0.377 "Loas" 52.58 10
79.4 0.456 "Cambodia" 88.1 14
29.4 0.779 "Cambodia" 62.96 7
67.8 0.679 "Cambodia" 81.47 11
18.8 0.56 "Cambodia" 52.38 1
73.9 0.6 "Cambodia" 93.67 9
30.9 1.057 "Thailand" 58.76 9
54.9 1.308 "Cambodia" 69.09 6
12.8 0.757 "Loas" 32.06 4
76.1 0.916 "Thailand" 87.62 9
37.7 0.798 "Thailand" 61.95 5
85.1 1.034 "Loas" 72.16 24
39.3 1.063 "Thailand" 67.13 7
90 0.25 "Loas" 77.34 29
41.5 0.257 "Thailand" 68.86 6
50.1 1.406 "Loas" 56.48 10
50.2 0.691 "Loas" 61.84 9
11 0.889 "Loas" 47.71 5
62.6 1.439 "Loas" 57.09 14
52 0.374 "Cambodia" 80.29 4
36.3 0.413 "Loas" 56.06 6
57.7 0.97 "Loas" 46.56 7
60.6 1.268 "Thailand" 76.21 6
45.9 1.231 "Cambodia" 71.98 5
24 0.312 "Loas" 54.34 4
68.6 0.217 "Loas" 61.66 17
71.3 1.191 "Thailand" 81.05 11
79.2 1.436 "Cambodia" 74.83 14
